publisher,safe_name,wiki_title,wiki_lang,wikidata_id,official_url,logo_filename,image_source_url,output_path,status
Cornélius,Cornélius,Cornelius,fr,Q396002,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Cornélius/folder.jpg,no_image
DC Comics,DC Comics,DC Comics,fr,Q2924461,https://www.dc.com/,DC Comics logo.svg,https://static.dc.com/2022-06/dc-logo-600x600.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/DC Comics/folder.jpg,ok
Daniel Maghen,Daniel Maghen,Daniel Maghen,fr,Q3014385,https://www.danielmaghen.com,,https://www.danielmaghen.com/design/logos-cb.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Daniel Maghen/folder.jpg,ok
De La Martinière Jeunesse,De La Martinière Jeunesse,La Martinière jeunesse,fr,Q3210604,http://www.lamartinierejeunesse.fr/,,https://www.editionsdelamartiniere.fr/wp-content/uploads/2020/11/image-header-jeunesse-4-1-scaled.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/De La Martinière Jeunesse/folder.jpg,ok
Denoël,Denoël,Éditions Denoël,fr,Q2485022,http://www.denoel.fr/,,https://www.denoel.fr/themes/custom/front/favicon.ico,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Denoël/folder.jpg,ok
Des ronds dans l'O,Des ronds dans l'O,Des ronds dans l'O,fr,Q3024199,http://www.desrondsdanslo.com/,,http://www.desrondsdanslo.com/images/En_Chemin/ExpositionEC_logo.gif,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Des ronds dans l'O/folder.jpg,ok
Desinge - Hugo & Cie,Desinge - Hugo & Cie,Éditions Hugo & Cie,fr,Q28495521,https://www.hugopublishing.fr/,,https://www.hugopublishing.fr/wp-content/uploads/2020/09/2020_Site_Bannieres_1-1024x341.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Desinge - Hugo & Cie/folder.jpg,ok
Dominique et compagnie,Dominique et compagnie,Dominique Demers,fr,Q2400498,http://www.dominiquedemers.ca,,http://www.dominiquedemers.ca/images/header_signature.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Dominique et compagnie/folder.jpg,ok
Drugstore,Drugstore,Drugstore,fr,Q56315570,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Drugstore/folder.jpg,no_image
Dynamite,Dynamite,Dynamite,fr,Q80728,,Caisse dynamite nobel paulilles expo.JPG,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Dynamite/folder.jpg,no_image
Dédales Éditions,Dédales Éditions,Dédale,fr,Q134756,,Daedalus and Icarus MKL Bd. 4 1890 (132198258).jpg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Dédales Éditions/folder.jpg,no_image
EP Media,EP Media,Bangarang,fr,Q20881,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/EP Media/folder.jpg,no_image
Edition des Archers,Edition des Archers,Édition des Archers,fr,Q3579193,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Edition des Archers/folder.jpg,no_image
Editions Déméter,Editions Déméter,Déméter,fr,Q40730,,(Venice) Demeter in the Museo archeologico nazionale.jpg,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Editions Déméter/folder.jpg,no_image
Editions Marcel Daubin,Editions Marcel Daubin,Carthage,fr,Q6343,,Tunisie Carthage Ruines 08.JPG,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Editions Marcel Daubin/folder.jpg,no_image
Editions Tabary,Editions Tabary,Éditions Tabary,fr,Q3579522,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Editions Tabary/folder.jpg,no_image
Editions USA,Editions USA,Éditions USA,fr,Q3579542,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Editions USA/folder.jpg,no_image
Editions du Miroir,Editions du Miroir,Marguerite Porete,fr,Q255132,,De baghine Des dodes dantz Lubeck 1489.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/De%20baghine%20Des%20dodes%20dantz%20Lubeck%201489.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Editions du Miroir/folder.jpg,ok
Ego comme X,Ego comme X,Ego comme X,fr,Q3049223,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Ego comme X/folder.jpg,no_image
Emmanuel Proust Éditions,Emmanuel Proust Éditions,Emmanuel Proust éditions,fr,Q2973067,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Emmanuel Proust Éditions/folder.jpg,no_image
Eyrolles,Eyrolles,Eyrolles,fr,Q3062796,https://www.editions-eyrolles.com/,Logo éditionsEyrolles.jpg,https://www.editions-eyrolles.com/build/images/logo/favicon.ico,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Eyrolles/folder.jpg,ok
Filidalo,Filidalo,,fr,,,,,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Filidalo/folder.jpg,no_image
Flammarion,Flammarion,Camille Flammarion,fr,Q295524,,Camille Flammarion.003.jpg,https://commons.wikimedia.org/wiki/Special:FilePath/Camille%20Flammarion.003.jpg,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Flammarion/folder.jpg,ok
Fleurus,Fleurus,Fleurus,fr,Q314922,https://www.fleurus.be,Fleurus JPG00.jpg,https://fleurus.be/wp-content/uploads/2023/12/Ville-de-Fleurus-Logo-Noir.png,/config/workspace/publisher-Themes/Publishers_NON-ENGLISH/FR/Fleurus/folder.jpg,ok
