path,group_background,group_text,label_text
Publishers/Image - Silverline/folder.css,#5d0400,#5d0400,#ffffff
Publishers/Image - Skybound/folder.css,#FFFFFF,#FFFFFF,#29378f
Publishers/Image - Todd McFarlane Productions/folder.css,#000000,#000000,#bd2124
Publishers/Image - Top Cow/folder.css,#ffffff,#ffffff,#333333
Publishers/Image/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Iron Circus Comics/folder.css,#000000,#000000,#ffffff
Publishers/Ishimori/folder.css,#000000,#000000,#ffffff
Publishers/JAMS + JELLIES/folder.css,#000000,#000000,#ffffff
Publishers/Jet City/folder.css,#000000,#000000,#ffffff
"Publishers/Jitsugyo no Nihon Sha, Ltd_/folder.css",#FFFFFF,#FFFFFF,#000000
Publishers/Justin Jordan/folder.css,#482f3a,#482f3a,#f1d9ab
Publishers/K.K. HarperCollins Japan/folder.css,#ffffff,#ffffff,#ec1220
Publishers/Keenspot Entertainment/folder.css,#000000,#000000,#ffffff
Publishers/Kel McDonald/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Kickstart/folder.css,#c13329,#c13329,#ffffff
Publishers/Kid Beowulf/folder.css,#f9ee30,#f9ee30,#ffffff
Publishers/Kids Can Press/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Kingstone Comics/folder.css,#000000,#000000,#ffffff
Publishers/Knockabout/folder.css,#000000,#000000,#ffffff
Publishers/Kodansha Comics - Vertical/folder.css,#ffffff,#ffffff,#1d1d1d
Publishers/Kodansha Comics Digital-First!/folder.css,#ffffff,#ffffff,#000000
Publishers/Kodansha Comics USA/folder.css,#ffffff,#ffffff,#1d1d1d
Publishers/Kurokawa X 12-21/folder.css,#000000,#000000,#ffffff
Publishers/LEED/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/LES REVEURS/folder.css,#000000,#000000,#ffffff
Publishers/Label 619/folder.css,#000000,#000000,#ffffff
Publishers/Legendary/folder.css,#15160e,#15160e,#ffffff
Publishers/Lion Forge Comics - Quillion/folder.css,#95519e,#95519e,#ffffff
Publishers/Lion Forge Comics - Roar Comics/folder.css,#e75025,#e75025,#ffffff
Publishers/Lion Forge Comics/folder.css,#209cd8,#209cd8,#ffffff
Publishers/Liquid Comics/folder.css,#0291d5,#0291d5,#fbfaf8
Publishers/Love Pop/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Marvel - Icon Comics/folder.css,black !important,black !important,white !important
Publishers/Marvel - MAX/folder.css,#000000,#000000,#d7af7b
Publishers/Marvel - Marvel Knights/folder.css,black !important,black !important,white !important
Publishers/Marvel/folder.css,#080c14,#080c14,#ffffff
Publishers/MediBang(global)/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Media Do/folder.css,#000000,#000000,#ffffff
Publishers/Monsterverse/folder.css,#000000,#000000,#ffffff
Publishers/Moonstone/folder.css,#000000,#000000,#ffffff
Publishers/Mutation Narrative/folder.css,#000000,#000000,#ffffff
Publishers/Mystery School Comics Group/folder.css,#000000,#000000,#ffffff
Publishers/NBM/folder.css,#cbd1cf,#cbd1cf,#000000
Publishers/New Wave Comics/folder.css,#000000,#000000,#ffffff
Publishers/Nihon Bungeisha/folder.css,#FFFFFF,#FFFFFF,#000000
"Publishers/North Stars Pictures ,Inc_/folder.css",#FFFFFF,#FFFFFF,#000000
Publishers/Oni Press/folder.css,#e21a22,#e21a22,#ffffff
Publishers/PRINTEMPS PUBLISHING/folder.css,#000000,#000000,#ffffff
Publishers/Paper Films/folder.css,#000000,#000000,#ffffff
Publishers/Papercutz/folder.css,#068748,#068748,#ffffff
Publishers/Piper Snow Productions/folder.css,#3796b9,#3796b9,#ffffff
Publishers/Platinum Manga By DMP - Classic Manga Works by Osamu Tezuka/folder.css,#608cc9,#608cc9,#000000
Publishers/Radical Comics/folder.css,#203130,#203130,#ffffff
Publishers/Rainbow/folder.css,#d692b8,#d692b8,#000000
Publishers/Raw Studios/folder.css,#000000,#000000,#ffffff
Publishers/Red 5 Comics/folder.css,#5d5d5d,#5d5d5d,#ffffff
Publishers/SLG/folder.css,#82a582,#82a582,#123312
Publishers/SOZO Comics/folder.css,#f09a37,#f09a37,#ffffff
Publishers/Sablevision/folder.css,#000000,#000000,#ffffff
Publishers/Scholastic - Graphix/folder.css,#8ca3d5,#8ca3d5,#ffffff
Publishers/SelfMadeHero/folder.css,#000000,#000000,#ffffff
Publishers/Seven Seas Entertainment/folder.css,#000000,#000000,#ffffff
Publishers/Shadow Valley/folder.css,#004023,#004023,#f4f2e4
Publishers/Shufu to Seikatsusha/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Spunch Comics/folder.css,#ffcc33,#ffcc33,#ffffff
Publishers/Strange Turn/folder.css,#ffffff,#ffffff,#414142
Publishers/Studio 407/folder.css,#a1181f,#a1181f,#cececf
Publishers/Swords & Sassery/folder.css,#000000,#000000,#ffffff
Publishers/TKO Studios/folder.css,white,black,
Publishers/TOKYOPOP/folder.css,#ffffff,#ffffff,#b31d0e
"Publishers/TORICO Co., Ltd_/folder.css",#ffffff,#ffffff,#221914
Publishers/Teshkeel/folder.css,#000000,#000000,#ffffff
Publishers/Th3rd World Studios/folder.css,#092344,#092344,#ffffff
Publishers/Thrillbent/folder.css,#000000,#000000,#ffffff
Publishers/TidalWave Productions/folder.css,#626dab,#626dab,#23376c
Publishers/Titan Comics/folder.css,#000000,#000000,#ffffff
Publishers/Udon/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Valiant Classic/folder.css,#000000,#000000,#ffffff
Publishers/Valiant/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Valve/folder.css,#000000,#000000,#ffffff
Publishers/Vault Comics/folder.css,#000000,#000000,#ffffff
Publishers/Viper Comics/folder.css,#333333,#333333,#ffffff
Publishers/Virtual Graphics/folder.css,#8c93d7,#8c93d7,#000000
Publishers/Vita Ayala/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Viz/folder.css,#000000,#000000,#ffffff
Publishers/Yen Press/folder.css,#000000,#000000,#8fa447
Publishers/Z2 Comics/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers/Zenescope Entertainment/folder.css,#000000,#000000,#ffffff
Publishers/Zenith Press/folder.css,#990000,#990000,#ffffff
Publishers/_old/Insight Editions/folder.css,white,black,
Publishers/_old/Joes Comics/folder.css,#000000,#000000,
Publishers/_old/Kickstarter/folder.css,white,black,
Publishers/_old/King Hell/folder.css,white,black,
Publishers/_old/Kitchen Sink/folder.css,#000000,#000000,#cccccc
Publishers/_old/Last Gasp/folder.css,white,white,
Publishers/_old/Legendary Comics/folder.css,#15160e,#15160e,white
Publishers/_old/Man of Action/folder.css,#e7e7e7,black,
Publishers/_old/Marvel - Epic/folder.css,black,black,white
Publishers/_old/Millarworld/folder.css,white,black,
Publishers/_old/NEC Press/folder.css,white,black,
Publishers/_old/NOW Comics/folder.css,#def9cc,black,
Publishers/_old/Nation Books/folder.css,#CBD7D8,black,white
Publishers/_old/Nobrow/folder.css,white,black,
Publishers/_old/Pantheon Books/folder.css,white,white,
Publishers/_old/Rebellion/folder.css,black,black,
Publishers/_old/Savoy/folder.css,#dbb9af,black,
Publishers/_old/Secret Acres/folder.css,white,black,
Publishers/_old/Storm King Comics/folder.css,black,black,
Publishers/_old/Stranger Comics/folder.css,black,black,
Publishers/_old/Tesladyne/folder.css,#677d92,#fde45e,#fde45e
Publishers/_old/Trident Comics/folder.css,white,black,
Publishers/_old/Tundra/folder.css,white,black,
Publishers/_old/Twist Street Comics/folder.css,black,black,
Publishers/_old/Universe/folder.css,gray,gray,
Publishers/_old/Valiant Classic/folder.css,white,white,
Publishers/_old/Virgin Comics/folder.css,white,white,
Publishers/_old/W. W. Norton & Company/folder.css,white,black,
Publishers/_old/White Wolf Publishing Co/folder.css,black,black,
Publishers/_old/Wizard/folder.css,white,white,
"Publishers/minato-pro,Mz-plan/folder.css",#FFFFFF,#FFFFFF,#000000
Publishers/monkeybrain Comics/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/DE/Harlequin SB Creative Corp_/folder.css,#e7a0a6,#e7a0a6,#ffffff
Publishers_NON-ENGLISH/DE/Marvel - MAX/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/DE/Marvel/folder.css,#FFFFFF,#FFFFFF,#000000
Publishers_NON-ENGLISH/DE/Panini Comics/folder.css,#fef200,#fef200,#000000
Publishers_NON-ENGLISH/ES/Amigo Comics/folder.css,#2b904e,#2b904e,
Publishers_NON-ENGLISH/ES/Harlequin SB Creative Corp_/folder.css,#e7a0a6,#e7a0a6,#ffffff
Publishers_NON-ENGLISH/FR/Aelement/folder.css,#c6010b,#c6010b,#000000
Publishers_NON-ENGLISH/FR/Akata/folder.css,#000000,#000000,#ffffff
Publishers_NON-ENGLISH/FR/Akileos/folder.css,#b92435,#b92435,#ffffff
Publishers_NON-ENGLISH/FR/Ankama Éditions/folder.css,#9c8e84,#9c8e84,#ffffff
Publishers_NON-ENGLISH/FR/Ankama/folder.css,#9c8e84,#9c8e84,#ffffff
Publishers_NON-ENGLISH/FR/Bamboo Édition/folder.css,#00a15b,#00a15b,#000000
Publishers_NON-ENGLISH/FR/Bamboo/folder.css,#00a15b,#00a15b,#000000
Publishers_NON-ENGLISH/FR/Dargaud/folder.css,#3d607c,#3d607c,#ffffff
Publishers_NON-ENGLISH/FR/Delcourt/folder.css,#ed2224,#ed2224,#000000
Publishers_NON-ENGLISH/FR/Denoël Graphic/folder.css,#000000,#000000,#ffffff
